usr_2489018f-a9ea-48e5-89bf-6b41d620d77b,<color=#ff0000>D</color><color=#ff2000>e</color><color=#ff4000>v</color><color=#ff5f00>e</color><color=#ff7f00>l</color><color=#ff9f00>o</color><color=#ffbf00>p</color><color=#ffdf00>e</color><color=#ffff00>r</color><color=#bfff00>
usr_157d3fbf-f66c-4d13-a6e8-4abe13e6d469,<color=#d700e2>Streamer</color>
usr_f98b6ae2-6f78-41e5-ab63-e945c0f56f1d,<color=#d700e2>Mora's pet/BoyFriend</color>
usr_3c01faa5-153b-4c70-a866-1fd518f1e580,<color=#d700e2>BoyFriend</color>
usr_51895e5a-0435-4f49-a174-f7a7cbaddcae,Munchen
usr_74f9d87e-e9dd-42a3-8532-c8af55c7bcbf,Munchen
usr_70ed4344-cc47-46f2-8f7f-3d3b1d90de85,Munchen
usr_1aa7eaff-75b1-4ba5-b0b9-d6f7ccc9559b,Im gay and my butt hurts (gang monkey)
usr_a4614504-176e-4424-becd-e7d4a09837d2,Im gay and my butt hurts (gang monkey)
usr_23866f18-773c-47c7-a930-90d322ce97ff,Fishy | Munchen | ??? | RubyClient| SageClient | evileye | Noob Dev
usr_da95beb7-e2e6-4a65-a879-e61bb98e29f6,Munchen | Astro
usr_8501288b-d729-4b13-88eb-4c97ffa7b7b5,<color=#f535aa>Gay Babies</color>
usr_548bebda-5e4d-4bb1-840b-a1d99ee6488f,<color=#ffc0cb>Bnuuy</color>
usr_f9a5d291-9269-45b6-812a-d76959b8a731,Munchen | Silly Motherfucker
usr_c84002f3-c9e2-42f4-aa47-189d5d21ed11,<color=#ff0000>S</color><color=#ff2a00>n</color><color=#ff5500>a</color><color=#ff7f00>x</color><color=#ffaa00>y</color><color=#ffd400>T</color><color=#ffff00>a</color><color=#bfff00>g</color><color=#80ff00>s</color><color=#40ff00> </color><color=#00ff00>C</color><color=#00ff55>r</color><color=#00ffaa>e</color><color=#00ffff>a</color><color=#00aaff>t</color><color=#0055ff>o</color><color=#0000ff>r</color>
